TICKET LE PETIT BALLON PARIS 13 16-05-2019 ,2019-16-05,-6.18
FRAN PARIS 06 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-89.43
FABRIQUE BREST 16-05-2019 DEBIT DIFF 32156,2019-16-05,-6.87
ABONNEMENT CORNER BOULANGERIE PARIS 03 16-05-2019 DEBIT DIFF 32156,2019-16-05,-44.45
TELEPAIEMENT ATTELAGE PARIS 17 16-05-2019 ,2019-16-05,-45.48
OKAIDI PARIS 20 16-05-2019 COMPTANT 32156,2019-16-05,-90.82
TICKET EK ENGINEERING LYON 16-05-2019 COMPTANT 32156,2019-16-05,-18.65
AL-CLUB NANTE 16-05-2019 ,2019-16-05,-4.55
TICKET MEET PARIS 10 16-05-2019 ,2019-16-05,-80.03
STOK O MANI BORDEAUX 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-37.84
MIIM EDITIONS PARIS 14 16-05-2019 ,2019-16-05,-88.45
JACADI NANTE 16-05-2019 ,2019-16-05,-37.83
MOTORCYCLE CLUB CANNE 16-05-2019 ,2019-16-05,-16.71
TELEPAIEMENT COOK FABRIQUE PARIS 06 16-05-2019 ,2019-16-05,-20.64
ACHAT FRANCE PARIS 02 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-22.5
FACTURE CARTE GYMLIB MARS 16-05-2019 ,2019-16-05,-15.42
ABONNEMENT STOCKOMANIA PARIS 04 16-05-2019 COMPTANT 32156,2019-16-05,-1.57
OKAIDI NICE 16-05-2019 ,2019-16-05,-24.46
HEETCH MARS 16-05-2019 ,2019-16-05,-37.16
PRELEV SO SO SO PARIS 15 16-05-2019 DEBIT DIFF 32156,2019-16-05,-37.05
BGL CRN MONACO 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-72.54
ACHAT WWF PANDA TOULON 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-21.03
HEE BREST 16-05-2019 COMPTANT 32156,2019-16-05,-57.54
PRELEV FRANCE PARIS 19 16-05-2019 ,2019-16-05,-74.62
MIIMOSA PARIS 03 16-05-2019 DEBIT DIFF 32156,2019-16-05,-5.33
SECONDES PARIS 14 16-05-2019 ,2019-16-05,-8.95
TICKET LE BALLON PARIS 13 16-05-2019 ,2019-16-05,-5.65
PETIT BAL MUSETTE AIX 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-45.74
TELEPAIEMENT SO GLAMOUROUS CANNE 16-05-2019 DEBIT DIFF 32156,2019-16-05,-5.52
ABONN GYM LIBERATION NANTE 16-05-2019 ,2019-16-05,-28.68
CARTE PETIT BAL MUSETTE PARIS 02 16-05-2019 ,2019-16-05,-31.11
ABONNEMENT OKAID SUSHI PARIS 06 16-05-2019 ,2019-16-05,-26.25
FACT CORNER APPLE PARIS 17 16-05-2019 COMPTANT 32156,2019-16-05,-51.78
LA FAB LYO 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-59.09
ALVEUS CLUB LYON 16-05-2019 ,2019-16-05,-5.93
JACADI PARIS 20 16-05-2019 ,2019-16-05,-20.97
YUMI MARS 16-05-2019 ,2019-16-05,-16.39
ACHAT OXYDECOUPE PARIS 20 16-05-2019 ,2019-16-05,-91.17
FLEX DISTRIB PARIS 11 16-05-2019 ,2019-16-05,-75.02
MEET PARIS 19 16-05-2019 ,2019-16-05,-95.74
FACT FABRI TOILE NICE 16-05-2019 DEBIT DIFF 32156,2019-16-05,-28.51
SECONDES PARIS 06 16-05-2019 ,2019-16-05,-98.51
YUMYUM CHINESE REST TOULON 16-05-2019 ,2019-16-05,-67.14
CB BRAS ET PIEDS MONACO 16-05-2019 ,2019-16-05,-51.25
EKWATEUR DRAGUIGN 16-05-2019 COMPTANT 32156,2019-16-05,-46.11
PRELEV FRANCE BOISSON PARIS 05 16-05-2019 ,2019-16-05,-1.46
FACT NA! LINGERIE BRUXEL 16-05-2019 ,2019-16-05,-35.82
LA FAB PARIS 15 16-05-2019 ,2019-16-05,-7.28
PANPAN PARIS 14 16-05-2019 ,2019-16-05,-67.85
BAGEL CORNER LILLE 16-05-2019 ,2019-16-05,-5.83
OXYBUL- EVEIL ET JEUX PARIS 12 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-28.97
FACTURE CARTE PVC DISTRIB BREST 16-05-2019 COMPTANT 32156,2019-16-05,-30.66
FRANP AIX 16-05-2019 COMPTANT 32156,2019-16-05,-5.57
MOTORCYCLE CLUB LYON 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-62.01
ABONN LIVE R PERPI 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-47.73
OKAID SUSHI PARIS 01 16-05-2019 ,2019-16-05,-70.8
JEUX D'ADULTES PARIS 08 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-30.18
STOCKOMANI PARIS 14 16-05-2019 COMPTANT 32156,2019-16-05,-31.14
FACTURE CARTE STOK O MANI LYO 16-05-2019 DEBIT DIFF 32156,2019-16-05,-18.14
EK ENGINEERING NICE 16-05-2019 ,2019-16-05,-42.06
TICKET FRANCE BOISSON SCY EN BRI 16-05-2019 ,2019-16-05,-64.74
TICKET GYM CENTER PARIS 14 16-05-2019 ,2019-16-05,-84.64
FACTURE SUCYDIST PARIS 02 16-05-2019 ,2019-16-05,-8.81
FABRI TOILE LILLE 16-05-2019 ,2019-16-05,-99.76
CB EVEIL DOUCEUR PARIS 19 16-05-2019 ,2019-16-05,-0.03
ABONNEMENT MEET PARIS 13 16-05-2019 ,2019-16-05,-96.11
PRELEV QUICK DELIVERY PARIS 09 16-05-2019 COMPTANT 32156,2019-16-05,-65.87
FACT STOCKOMANI PARIS 12 16-05-2019 ,2019-16-05,-79.07
FACTURE MEET APRR 16-05-2019 ,2019-16-05,-10.36
ACHAT LE GRAND BALLON PARIS 09 16-05-2019 ,2019-16-05,-17.04
STOKOMANI PARIS 17 16-05-2019 COMPTANT 32156,2019-16-05,-59.92
TICKET FABRIQUE COOKIES PARIS 03 16-05-2019 COMPTANT 32156,2019-16-05,-46.19
SCHWARTZ DELI PARIS 17 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-76.44
CARTE HELL'S ANGEL CLUB PARIS 14 16-05-2019 ,2019-16-05,-12.4
LE PETIT BALLON PARIS 20 16-05-2019 DEBIT DIFF 32156,2019-16-05,-51.3
ACHAT GYM LIBERATION PARIS 04 16-05-2019 ,2019-16-05,-96.72
TELEPAIEMENT LIVE R LYO 16-05-2019 ,2019-16-05,-44.09
ATELIER THRUXT PARIS 01 16-05-2019 ,2019-16-05,-84.59
FACT ALICE'S GARDEN MARS 16-05-2019 ,2019-16-05,-10.26
MOSAIC PARIS 15 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-39.36
TELEPAIEMENT OKAID SUSHI PARIS 10 16-05-2019 DEBIT DIFF 32156,2019-16-05,-32.3
TELEPAIEMENT QUICK DELIVERY PARIS 06 16-05-2019 COMPTANT 32156,2019-16-05,-39.39
CRAFT MAN MONACO 16-05-2019 COMPTANT 32156,2019-16-05,-58.63
CB WATER PURPOSE PARIS 08 16-05-2019 ,2019-16-05,-53.78
ABONN YUMI PARIS 15 16-05-2019 COMPTANT 32156,2019-16-05,-11.45
ACHAT ATELIER THRUXT NANTE 16-05-2019 COMPTANT 32156,2019-16-05,-92.96
L'ATELIER COULOM 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-15.23
LE PETIT BALLON BREST 16-05-2019 ,2019-16-05,-70.41
PRELEV JACAD PARIS 03 16-05-2019 ,2019-16-05,-9.19
PRELEV 5 SEC PARIS 03 16-05-2019 ,2019-16-05,-90.66
GYM CENTER PARIS 02 16-05-2019 ,2019-16-05,-99.39
CRAFT MAN BRUXEL 16-05-2019 ,2019-16-05,-81.56
ABONNEMENT STOK PARIS 01 16-05-2019 ,2019-16-05,-75.31
STOKOMANI PARIS 20 16-05-2019 COMPTANT 32156,2019-16-05,-45.41
CARTE HELL'S ANGEL CLUB AIX 16-05-2019 DEBIT DIFF 32156,2019-16-05,-90.65
L'ATELIER PARIS 15 16-05-2019 ,2019-16-05,-20.02
PRELEV SO SO SO PARIS 19 16-05-2019 DEBIT DIFF 32156,2019-16-05,-60.83
MIMOSA MARS 16-05-2019 COMPTANT 32156,2019-16-05,-91.79
ACHAT MANIX FR PARIS 14 16-05-2019 ,2019-16-05,-39.29
FABRIQUE MONACO 16-05-2019 COMPTANT 32156,2019-16-05,-34.01
MANIX FR PARIS 20 16-05-2019 ,2019-16-05,-33.96
FABCOOKIE PARIS 13 16-05-2019 DEBIT DIFF 32156,2019-16-05,-73.16
LA FABRIQUE - COOKIES PARIS 04 16-05-2019 ,2019-16-05,-47.66
ALVEUS CLUB PARIS 01 16-05-2019 ,2019-16-05,-87.76
CARTE HEE PARIS 05 16-05-2019 DEBIT DIFFEREE 32156,2019-16-05,-61.14
ABONN ATELIER NA SCY EN BRI 16-05-2019 ,2019-16-05,-37.5
